MRR Site Info Code,MRR Site Info Name,MRR Site Info RKM Mask,MRR Site Type Name,MRR Site Subbasin Code,MRR Site Subbasin Name,MRR Site Latitude Value,MRR Site Longitude Value,New metric
BEAR5C,"Bear Creek, Middle Fork John Day River",351.298.052.070,River,17070203,Middle Fork John Day,44.711875,'-118.849643,1
BEARC,Bear Creek,522.224.120.037.081,River,17060301,Upper Selway,46.091486,'-114.678447,1
BEARVC,Bear Valley Creek,522.303.319.170,River,17060205,Upper Middle Fork Salmon,44.374211,'-115.396117,1
BEAV2C,"Beaver Creek, Methow River",843.057,River,17020008,Methow,48.435095,'-120.022301,1
BEAV3C,"Beaver Creek, Wenatchee River Basin",754.075,River,17020011,Wenatchee,47.779242,'-120.600588,1
BEAV3P,"Beaver Creek Acclimation Pond, Wenatchee River Basin",754.075.001,Acclimation Pond,17020011,Wenatchee,47.768224,'-120.648222,1
BEAV4C,"Beaver Creek, Big Creek watershed, MF Salmon River",522.303.319.029.049,River,17060206,Lower Middle Fork Salmon,45.22554,'-115.299573,1
BEAVC,"Beaver Creek, tributary to Marsh Creek",522.303.319.170.009,River,17060205,Upper Middle Fork Salmon,44.437227,'-115.057127,1
BEAVEC,Beaver Creek,522.303.642,River,17060201,Upper Salmon,43.884194,'-114.859962,1
BEDRKC,Bedrock Creek,522.224.042,River,17060306,Clearwater,46.566139,'-116.533435,1
BEECEF,"East Fork Beech Creek, upper John Day River",351.378.018,River,17070201,Upper John Day,44.514158,'-118.929247,1
BEECHC,Beech Creek - tributary to John Day River,351.378,River,17070201,Upper John Day,44.499638,'-119.033501,1
BERRYC,Berry Creek - Clackamas Subbasin,163.040.120.006,River,17090011,Clackamas,44.835186,'-121.922573,1
BGM,"Burlingame Diversion Dam, Walla Walla River",509.059,Dam,17070102,Walla Walla,46.023304,'-118.424434,1
BGMTAL,BGM - Release into the Tailrace within 0.5 km downstream of Dam,509.059,Intra-Dam Release Site,17070102,Walla Walla,46.023304,'-118.424434,1
BIDDLP,"Biddle Acclimation Pond on Wolf Creek, Methow River Basin",843.085.002,Acclimation Pond,17020008,Methow,48.48882,'-120.247937,1
BIG1C,"Big Creek, lower Columbia River near Knappa, OR",43,River,17080006,Lower Columbia,46.111186,'-123.529538,1
BIG2C,"Big Creek, Middle Fork Salmon River",522.303.319.029,River,17060206,Lower Middle Fork Salmon,45.157759,'-115.120140,1
BIG2CT,Big Creek Rotary Screw Trap,522.303.319.029.011,Trap or Weir,17060206,Lower Middle Fork Salmon,45.103578,'-114.852514,1
BIG3C,"Big Creek, Tributary to Yakima River",539.315,River,17030001,Upper Yakima,47.172306,'-121.185652,1
BIG8MC,"Big Eightmile Creek, Lemhi River Basin",522.303.416.073,River,17060204,Lemhi,44.645113,'-113.527712,1
BIGB2C,"Big Bear Creek, Lemhi River Basin",522.303.416.092.019,River,17060204,Lemhi,44.662161,'-113.104946,1
BIGBEC,"Big Bear Creek, Potlatch River",522.224.024.023,River,17060306,Clearwater,46.730007,'-116.621142,1
BIGC,Big Creek Hatchery (ODFW) near Knappa,43.006,Hatchery,17080006,Lower Columbia,46.145984,'-123.580635,1
BIGCAC,Big Canyon Creek,522.224.057,River,17060306,Clearwater,46.344265,'-116.433613,1
BIGFLC,Big Flat Creek,522.224.120.037.113.026,River,17060303,Lochsa,46.370756,'-114.433637,1
BIGMAC,Big Mallard Creek,522.303.247,River,17060207,Middle Salmon-Chamberlain,45.630597,'-115.295919,1
BIGMEC,"Big Meadow Creek, Wenatchee River Basin",754.077.014,River,17020011,Wenatchee,47.879336,'-120.765374,1
BIGSPC,"Big Springs Creek, Lemhi River Basin",522.303.416.077,River,17060204,Lemhi,44.708454,'-113.405697,1
BIGWSP,Big White Salmon Ponds,271.002,Acclimation Pond,17070105,Middle Columbia-Hood,45.748452,'-121.520796,1
BIRCHC,"Birch Creek, Umatilla River",465.077,River,17070103,Umatilla,45.575566,'-118.807058,1
BIRCHE,"East Fork Birch Creek, Umatilla River",465.077.026,River,17070103,Umatilla,45.401428,'-118.752170,1
BIRCHW,"West Fork Birch Creek, Umatilla River",465.077.026,River,17070103,Umatilla,45.374806,'-118.868936,1
BLDRCK,"Boulder Creek, tributary to Kettle River",1131.027,River,17020002,Kettle,48.824775,'-118.196842,1
BLDRNF,North Fork Boulder Creek,1031.027.004,River,17020002,Kettle,48.837126,'-118.305033,1
BLDRSF,South Fork Boulder Creek,1031.027.004,River,17020002,Kettle,48.754213,'-118.321287,1
BLKBAS,"Blackberry Acc. Site, WF Hood River",273.020.014,Acclimation Pond,17070105,Middle Columbia-Hood,45.521133,'-121.743672,1
BLNDSL,Blind Slough Net Pens (Oregon side of Columbia River Estuary),47,Acclimation Pond,17080006,Lower Columbia,46.2029,'-123.544500,1
BLUEC,"Blue Creek, Klickitat River Basin",290.063.008.004,River,17070106,Klickitat,46.085029,'-120.992513,1
BO1,Bonneville Dam PH1 (Archaic - replaced with generic BON designation),*,Archaic,17080001,Lower Columbia-Sandy,45.64449137,'-121.940726,1
BO1BYP,BON - Release into PH1 Juvenile Facility Bypass Flume/Pipe,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BO1GWL,BON - Release into PH1 Gatewell(s),234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BO2,Bonneville Dam PH2 (Archaic - replaced with generic BON designation),*,Archaic,17080001,Lower Columbia-Sandy,45.64449137,'-121.940726,1
BO2BCC,BON - Release into the PH2 Bypass Corner Collector,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BO2BYP,BON - Release into the PH2 Juvenile Facility Bypass Flume/Pipe,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BO2GAT,BON - Release into the PH2 Juvenile Facility Flume between the Separator Exit and the Primary PIT-Tag Diversion Gate,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BO2GWL,BON - Release into PH2 Gatewell(s),234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BO2ORI,BON - Release into PH2 Orifice(s),234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BO2RRR,BON - Release below the PH2 Juvenile Facility PIT-Tag Diversion System Gate with subsequent Return to the River,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BOBSC,"Bobs Creek, Potlatch River watershed",522.224.024.065.019,River,17060306,Clearwater,46.896392,'-116.322402,1
BOHANC,"Bohannon Creek, Lemhi River Basin",522.303.416.017,River,17060204,Lemhi,45.170333,'-113.709276,1
BOHEFC,"East Fork Bohannon Creek, Lemhi River Basin",522.303.416.017.007,River,17060204,Lemhi,45.172507,'-113.666006,1
BON,Bonneville Dam Complex,234,Dam,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BONAFF,BON - Adult Fish Facility,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BONAPC,"Bonaparte Creek, Okanogan River Basin",858.092,River,17020006,Okanogan,48.664031,'-119.176043,1
BONH,Bonneville Hatchery,232.001,Hatchery,17080001,Lower Columbia-Sandy,45.633268,'-121.956828,1
BONLD1,BON - Release into the Bradford Island Adult Fish Ladder,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BONLD2,BON - Release into the Cascades Island Adult Fish Ladder,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BONLD3,BON - Release into the Washington Shore Adult Fish Ladder,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BONMRT,BON - Mortality Recovery,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.644491,'-121.940726,1
BONP,Bonifer Springs Acclimation Pond,465.127.003,Acclimation Pond,17070103,Umatilla,45.683936,'-118.363608,1
BOSTCC,"Boston Canyon Creek, Umatilla River",465.127.003,River,17070103,Umatilla,45.658099,'-118.335107,1
BOUL2C,"Boulder Creek, Little Salmon River watershed",522.303.140.029,River,17060210,Little Salmon,45.129966,'-116.418516,1
BOUL3C,"Boulder Creek, Potlatch River watershed",522.224.024.041,River,17060306,Clearwater,46.714907,'-116.443235,1
BOULDC,Boulder Creek,522.224.120.037.042,River,17060303,Lochsa,46.318642,'-115.217156,1
BOUNDC,Boundary Creek,522.303.319.154,River,17060205,Upper Middle Fork Salmon,44.513224,'-115.324622,1
BOUTRP,Boulder Creek Trap,522.224.120.037.042.001,Trap or Weir,17060303,Lochsa,46.336199,'-115.313264,1
BOWMNC,"Bowman Creek, tributary to Little Klickitat River",290.033.002,River,17070106,Klickitat,45.936054,'-120.978813,1
BOXCNC,"Box Canyon Creek, Upper Yakima Basin",539.330.014,River,17030001,Upper Yakima,47.3951529,'-121.2767363,1
BRAMYC,"Big Ramey Creek, Big Creek watershed, MF Salmon River",522.303.319.029.042,River,17060206,Lower Middle Fork Salmon,45.245757,'-115.183770,1
BRDG2C,"Bridge Creek, Middle Fork John Day River",351.298.052.106,River,17070203,Middle Fork John Day,44.5467,'-118.530529,1
BRDG3C,Bridge Creek - tributary to Sanpoil River,981.04,River,17020004,Sanpoil,48.245234,'-118.595450,1
BREITR,"Breitenbush River, North Santiam River Basin",163.174.019.088,River,17090005,North Santiam,44.767989,'-122.087735,1
BRENNC,"Brennegan Creek, tributary to Entiat River",778.04,River,17020010,Upper Columbia-Entiat,47.911169,'-120.417851,1
BRIDGC,"Bridge Creek, John Day River Basin",351.218,River,17070204,Lower John Day,44.592045,'-120.205460,1
BRIDWB,"West Branch Bridge Creek, John Day River Basin",351.218.020,River,17070204,Lower John Day,44.551396,'-120.316391,1
BRUS2C,"Brush Creek, Klickitat River Basin",290.063.008,River,17070106,Klickitat,46.124077,'-121.006246,1
BRUSHC,Brushy Fork Creek,522.224.120.037.113.011,River,17060303,Lochsa,46.618179,'-114.461118,1
BSHEEC,Big Sheep Creek,522.308.032,River,17060102,Imnaha,45.352278,'-116.946925,1
BSHPCK,"Big Sheep Creek, tributary to Columbia River",1180,River,17020001,Franklin D. Roosevelt Lake,48.954254,'-117.870950,1
BSPBL,Bridgeport State Park Boat Launch,972,Other,17020005,Chief Joseph,48.014183,'-119.607163,1
BTIMBC,"Big Timber Creek, Lemhi River Basin",522.303.416.089,River,17060204,Lemhi,44.563884,'-113.401305,1
BUCK2C,"Buck Creek, Big Creek watershed, MF Salmon River",522.303.319.029.026,River,17060206,Lower Middle Fork Salmon,45.105211,'-115.022160,1
BUCK3C,"Buck Creek, White Salmon River Basin (WA)",271.008,River,17070105,Middle Columbia-Hood,45.82469,'-121.551474,1
BUCK4C,"Buck Creek, Lemhi River Basin",522.303.416.049.014.003,River,17060204,Lemhi,44.783572,'-113.831413,1
BUCKAP,Buckskin Slough Acclimation Site,539.187.005.005,Acclimation Pond,17030002,Naches,46.634548,'-120.581696,1
BUCKC,"Buck Creek, Umatilla River",465.145.002,River,17070103,Umatilla,45.712781,'-118.132806,1
BUCKHC,"Buckhollow Creek, Deschutes River Basin",328.069,River,17070306,Lower Deschutes,45.172224,'-120.816625,1
BUCKSL,"Buckskin Slough, tributary to Naches RIver",539.187.005,River,17030002,Naches,,,1
BUMPR,Bumping River- Naches Subbasin,539.187.072,River,17030002,Naches,46.869138,'-121.301932,1
BURL,"Burley Creek Hatchery, Puget Sound",***,Hatchery,17110019,Puget Sound,47.443684,'-122.630360,1
BURNLC,Burnt Log Creek,522.303.215.060.024.024,River,17060208,South Fork Salmon,44.715766,'-115.494435,1
BUTCHC,"Butcher Creek, Umatilla River",465.127.034,River,17070103,Umatilla,45.467617,'-118.361617,1
BUTCHP,"Butcher Creek Acclimation Pond, Wenatchee River Basin",754.089.013,Acclimation Pond,17020011,Wenatchee,47.769549,'-120.802350,1
BVAL2C,"Bear Valley Creek, Lemhi River Basin",522.303.416.049.014,River,17060204,Lemhi,44.795319,'-113.783943,1
BVRLYI,"Beverly Islands, Columbia River below Wanapum Dam",666,Avian Colony,17020016,Upper Columbia-Priest Rapids,46.629457,'-119.885410,1
CABINC,"Cabin Creek, Big Creek watershed, MF Salmon River",522.303.319.029.019,River,17060206,Lower Middle Fork Salmon,45.18323,'-114.910522,1
CABLNF,"North Fork Cable Creek, North Fork John Day River basin",351.298.089.027.011,River,17070202,North Fork John Day,45.059499,'-118.694954,1
CALAPR,Calapooia River,163.192,River,17090003,Upper Willamette,44.381305,'-122.925814,1
CAMASC,"Camas Creek, Middle Fork Salmon River",522.303.319.057,River,17060206,Lower Middle Fork Salmon,44.806913,'-114.476705,1
CAMP2C,"Camp Creek, Middle Fork John Day River",351.298.052.076,River,17070203,Middle Fork John Day,44.606715,'-118.866162,1
CAMP3C,"Camp Creek, SF Salmon River",522.303.215.076,River,17060208,South Fork Salmon,44.896172,'-115.663632,1
CAMP4C,"Camp Creek, tributary to Big Sheep Creek, Imnaha drainage",522.308.032.002,River,17060102,Imnaha,45.612929,'-116.955678,1
CAMPC,"Camp Creek, Umatilla River",465.127.018,River,17070103,Umatilla,45.592994,'-118.289126,1
CANALC,"Canal Creek, tributary to Little Sheep Creek, Imnaha drainage",522.308.032.005.039,River,17060102,Imnaha,45.25379,'-117.111728,1
CANDLC,"Candle Creek, tributary to the Metolius River",328.177.044,River,17070301,Upper Deschutes,44.582792,'-121.674104,1
CANY2C,"Canyon Creek, Lemhi River Basin",522.303.416.090,River,17060204,Lemhi,44.749124,'-113.270982,1
CANY3C,"Canyon Creek, tributary to the Metolius River",328.177.055,River,17070301,Upper Deschutes,44.502293,'-121.743901,1
CANY4C,Canyon Creek - tributary to John Day River,351.392,River,17070201,Upper John Day,44.250886,'-118.918171,1
CANYOC,Canyon Creek,522.224.120.037.012,River,17060303,Lochsa,46.256671,'-115.594103,1
CAPEHC,Capehorn Creek,522.303.319.170.010,River,17060205,Upper Middle Fork Salmon,44.356826,'-115.219682,1
CARMEC,Carmen Creek - tributary to Salmon River,522.303.408,River,17060203,Middle Salmon-Panther,45.308498,'-113.804281,1
CARP,Carlton Acclimation Pond,843.058,Acclimation Pond,17020008,Methow,48.343361,'-120.088760,1
CARS,Carson National Fish Hatchery,251.028,Hatchery,17070105,Middle Columbia-Hood,45.868254,'-121.974039,1
CASC,Cascade Hatchery (ODFW) near Cascade Locks,*,Hatchery,17070105,Middle Columbia-Hood,45.641705,'-121.927140,1
CASS,Cassimer Bar Hatchery,*,Hatchery,17020006,Okanogan,48.09219,'-119.698486,1
CATCMF,Middle Fork Catherine Creek,522.271.232.052.005,River,17060104,Upper Grande Ronde,45.153712,'-117.565157,1
CATCNF,North Fork Catherine Creek,522.271.232.052,River,17060104,Upper Grande Ronde,45.188095,'-117.606582,1
CATCSF,South Fork Catherine Creek,522.271.232.052,River,17060104,Upper Grande Ronde,45.104103,'-117.565379,1
CATHEC,Catherine Creek,522.271.232,River,17060104,Upper Grande Ronde,45.209666,'-117.887850,1
CATHEP,Catherine Creek Pond,522.271.232.048,Acclimation Pond,17060104,Upper Grande Ronde,45.122647,'-117.693448,1
CATHEW,Catherine Creek Weir,522.271.232.032,Trap or Weir,17060104,Upper Grande Ronde,45.190964,'-117.828617,1
CAVEC,"Cave Creek, Big Creek watershed, MF Salmon River",522.303.319.029.022,River,17060206,Lower Middle Fork Salmon,45.206308,'-114.935731,1
CBD,Clear Branch Dam,273.023.015.001,Dam,17070105,Middle Columbia-Hood,45.459182,'-121.657510,1
CBDFBY,CBD - Release into the Forebay within 0.5 km upstream of Dam,273.023.015.001,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.459182,'-121.657510,1
CBLAIS,"Central Blalock Island, Columbia River near Boardman, OR",440,Avian Colony,17070101,Middle Columbia-Lake Wallula,45.897655,'-119.646669,1
CCD,Clear Creek Dam,539.187.028.037.012,Dam,17030002,Naches,46.62783,'-121.2705,1
CCDFBY,CCD - Release into the Forebay within 0.5 km upstream of Dam,539.187.028.037.012,Intra-Dam Release Site,17030002,Naches,46.62783,'-121.2705,1
CCDTAL,CCD - Release into the Tailrace within 0.5 km downstream of Dam,539.187.028.037.012,Intra-Dam Release Site,17030002,Naches,46.62783,'-121.2705,1
CDP,Cushman Dam Project,***,Dam,17110017,Skokomish,47.397547,'-123.201129,1
CEDA2C,"Cedar Creek, Potlatch River watershed",522.224.024.033,River,17060306,Clearwater,46.62703,'-116.464858,1
CEDARC,"Cedar Creek, tributary to Lewis River",140.025,River,17080002,Lewis,45.904619,'-122.436542,1
CEFLAF,"Cedar Flats Acclimation Facility, Selway River",522.224.120.037.008,Acclimation Pond,17060302,Lower Selway,46.093192,'-115.538764,1
CFCT,Chelan Falls Canal Trap,810.001,Trap or Weir,17020009,Lake Chelan,47.810351,'-119.984804,1
CFCTRP,Crooked Fork Creek Trap,522.224.120.037.113.003,Trap or Weir,17060303,Lochsa,46.533123,'-114.677020,1
CFD,Cowlitz Falls Dam,111.133,Dam,17080005,Lower Cowlitz,46.466475,'-122.108709,1
CFDNSC,CFD - Release into North Shore Collector Flume,111.133,Intra-Dam Release Site,17080005,Lower Cowlitz,46.466956,'-122.109053,1
CFDSF2,CFD - Release directly into spillway flume 2,111.133,Intra-Dam Release Site,17080005,Lower Cowlitz,46.466547,'-122.109131,1
CFDSF3,CFD - Release directly into spillway flume 3,111.133,Intra-Dam Release Site,17080005,Lower Cowlitz,46.466397,'-122.109147,1
CFDTAL,CFD - Release into the Tailrace within 0.5 km downstream of Dam,111.133,Intra-Dam Release Site,17080005,Lower Cowlitz,46.466475,'-122.108709,1
CGR,Cougar Dam,163.282.090.007,Dam,17090004,Mckenzie,44.127883,'-122.243590,1
CGRTAL,CGR - Release into the Tailrace within 0.5 km downstream of Dam,163.282.090.007,Intra-Dam Release Site,17090004,Mckenzie,44.127883,'-122.243590,1
CHALLC,Challis Creek - tributary to Salmon River,522.303.510,River,17060201,Upper Salmon,44.56477,'-114.370875,1
CHAMBC,Chamberlain Creek,522.303.282,River,17060207,Middle Salmon-Chamberlain,45.373914,'-115.129653,1
CHAMPC,Champion Creek,522.303.631,River,17060201,Upper Salmon,44.010797,'-114.748475,1
CHAMWF,West Fork Chamberlain Creek,522.303.282.024,River,17060207,Middle Salmon-Chamberlain,45.430239,'-115.197179,1
CHANDL,Chandler Canal (Prosser Dam) - headgate to diversion screen (km 000-002),539.076,River,17030003,Lower Yakima,46.214076,'-119.765925,1
CHARLC,"Charley Creek, Asotin Creek watershed",522.234.022,River,17060103,Lower Snake-Asotin,46.272407,'-117.436618,1
CHEL,Chelan PUD Hatchery,*,Hatchery,17020005,Chief Joseph,47.815822,'-119.977129,1
CHELAR,Chelan River,810,River,17020009,Lake Chelan,48.028361,'-120.333361,1
CHERBT,Chewuch River Bridge Rotary Screw Trap,843.080.001,Trap or Weir,17020008,Methow,48.477225,'-120.186416,1
CHEWEC,"Chewelah Creek, tributary to Colville River",1121.073,River,17020003,Colville,48.273742,'-117.719599,1
CHEWUP,Chewuch Acclimation Pond (WDFW),843.080.010,Acclimation Pond,17020008,Methow,48.56511,'-120.176618,1
CHEWUR,Chewuch River,843.08,River,17020008,Methow,48.750507,'-120.137116,1
CHFARF,Chelan Falls Rearing Facillity,810.001,Acclimation Pond,17020009,Lake Chelan,47.806021,'-119.987467,1
CHIKAC,"Chikamin Creek, tributary to Chiwawa River",754.077.023,River,17020011,Wenatchee,47.954367,'-120.720292,1
CHINOR,"Chinook River, Washington (Columbia River Estuary)",6,River,17080006,Lower Columbia,46.296132,'-123.972299,1
CHIP,Chiwawa Rearing Pond,754.077.002,Acclimation Pond,17020011,Wenatchee,47.789057,'-120.651952,1
CHIW,Chiwawa Weir,754.077.002,Trap or Weir,17020011,Wenatchee,47.788121,'-120.651145,1
CHIWAC,"Chiwaukum Creek, tributary to Wenatchee River",754.057,River,17020011,Wenatchee,47.710181,'-120.829238,1
CHIWAR,Chiwawa River,754.077,River,17020011,Wenatchee,47.950633,'-120.776839,1
CHIWAT,"Chiwawa River Trap, 0.5 km below CHIP acclimation pond",754.077.002,Trap or Weir,17020011,Wenatchee,47.787307,'-120.655314,1
CHJO,Chief Joseph Hatchery,868,Hatchery,17020005,Chief Joseph,48.001265,'-119.646643,1
CHUMSC,"Chumstick Creek, Wenatchee Basin",754.037,River,17020011,Wenatchee,47.6976,'-120.637880,1
CISPUR,Cispus River - tributary to Cowlitz River,111.135,River,17080004,Upper Cowlitz,46.387113,'-121.738548,1
CJD,Chief Joseph Dam,869,Dam,17020005,Chief Joseph,47.996424,'-119.633644,1
CJDFBY,CJD - Release into the Forebay within 0.5 km upstream of Dam,869,Intra-Dam Release Site,17020005,Chief Joseph,47.996424,'-119.633644,1
CJRAP,Captain John Rapids Acclimation Pond,522.263,Acclimation Pond,17060103,Lower Snake-Asotin,46.13984,'-116.935990,1
CLARFP,Clark Flat Acclimation Pond,539.27,Acclimation Pond,17030001,Upper Yakima,47.1043,'-120.722700,1
